mf,ppm,unsat
C6H2F4N4O2P,10.4833,6.5
C7H6F5KNP,-10.489099999999999,3.0
C3H2F9N2S,-10.5282,-0.5
C4H3F4NO8,-10.599400000000001,2.0
C3H4F8NO2P,10.6356,-1.0
C10H4FKN4P,-10.641399999999999,10.5
C6F5N5S,-10.6805,7.0
C4H11F2NO4P2S,10.701500000000001,0.0
C5H12K2N4PS,-10.7354,1.5
C7HN4O8,-10.751700000000001,9.5
CH8FN4O7P2,10.7631,0.5
CH8F4KN5S2,-10.7745,-2.0
C12H6KO5,10.7812,9.5
C10H4FNO5S,-10.8132,9.0
C3H10F3K2N4S,10.819899999999999,-1.5
CH14N5OP3S2,10.9002,-1.0
C5H12KNO5S2,-10.9073,0.0
C8H2F4KN4,10.9139,7.5
C5H6F5NO2P2,-10.9197,2.0
C8H9F2K2O3,-10.934099999999999,2.5
C5H5F2N5O2S2,10.9407,5.0
C3H8FNO10S,11.0217,0.0
C19H2K,-11.0538,18.5
C5H4F8KN,11.0661,0.0
C8H4FN4O2P2,-11.0719,9.5
C6H11F2KNO2PS,11.1321,1.0
C3H14N2O4PS3,11.1589,-1.5
C3H12KN4O2P2S,-11.165899999999999,0.5
C7H12FNOP4,11.1856,4.0
C3H8FKN4O5P,11.1936,1.5
C11H3F3NO2P,11.2261,10.0
C2H5F6KN4P,-11.2319,-0.5
C3H12NO7PS2,-11.3378,-1.0
C6H9F2KO5P,-11.3646,1.5
C2H5F6NO5S,-11.4038,-2.0
C17H2O2P,-11.484399999999999,17.5
C6H9NO7P2,11.505799999999999,4.0
C5H3F2N4O5S,-11.556000000000001,5.5
C8H11F2K2NS,11.5626,2.0
C5H14KN2O2S3,11.5894,-0.5
CH12N4O4P3S,-11.5965,-0.5
C8H6F3NO2S2,-11.617600000000001,5.0
C5H8FK2N4O3,11.624099999999999,2.5
C2H5F4N5O2P2,11.6385,2.0
C11H3F5K,-11.6443,7.5
C13H3F3KN,11.6566,11.0
C4H15FNOP3S2,-11.658,-1.0
H5F6N4O2P2,-11.6624,-1.5
C3H8F3K2N3O3,-11.6768,-1.0
C10H6FN2O2S2,11.6834,8.5
C6H11F4K2S,-11.738399999999999,-1.5
C7H3N5O5S,11.7449,9.0
C4H9F2O7P2,-11.7952,0.5
C14HFKN3,-11.7966,15.0
C9H9K2N3S,-11.8906,6.0
C4H5F4N2O5S,11.8972,1.5
C8H9KNO5P,11.9363,5.0
CH2F3N5O8,11.9587,2.0
