latitude,longitude,significant_hit_count,geo_location_name,environment_biome
-17.991,-154.279,0,,
-17.963,95,0,,
-17.857,173.35,0,,
-17.597,-17.786,0,,
-17.593,27.358,0,Zimbabwe,Hot spring
-17.485,-149.824,0,,
-17.456,-149.815,0,,
-17.369,54.996,0,,
-17.367,54.996,0,,
-17.332,54.997,7,,
-17.331,177.146,0,,
-17.289,-149.54,1,,outer slope of the reef
-17.286,42.287,10,,marine biome (ENVO:00000447)
-17.16,146.027,0,,
-17.095,95,0,,
-17.025,42.74,15,,marine biome (ENVO:00000447)
-17.017,-30.605,6,,ocean_biome
-17.001,-18.391,0,,
-17,-103,0,,
-16.96,-100.634,2,,marine biome (ENVO:00000447)
-16.959,-100.675,48,,marine biome (ENVO:00000447)
-16.957,53.98,0,,marine biome (ENVO:00000447)
-16.953,53.96,44,,marine biome (ENVO:00000447)
-16.949,-100.672,131,,marine biome (ENVO:00000447)
-16.925,179.773,0,,
-16.838,95,0,,
-16.795,54.999,4,,
-16.743,169.791,0,,
-16.728,146.362,3,Australia:Coral Sea,
-16.719,146.356,3,Australia:Coral Sea,
-16.582,95,0,,
-16.419,54.997,1,,
-16.299,146.06,0,Australia:Coral Sea,
-16.278,95,0,,
-16.23,54.996,0,,
-16.032,-25.024,0,,
-16.004,95,0,,
-15.652,55.001,2,,
-15.545,167.228,0,,
-15.342,43.296,8,,marine biome (ENVO:00000447)
-15.338,43.295,110,,marine biome (ENVO:00000447)
-15.289,-148.232,0,,
-15.154,-147.437,0,,
-15,-103,0,,
-14.93,95,2,,
-14.779,-24.986,0,,
-14.68,55.002,2,,
-14.67,145.455,0,,
-14.633,95,2,,
-14.518,55.004,0,,
-13.957,54.998,0,,
-13.953,55,1,,
-13.899,54.998,0,,
-13.896,144.399,2,Australia:Coral Sea,
-13.894,144.396,3,Australia:Coral Sea,
-13.855,144.676,1,Australia:Coral Sea,
-13.566,95,0,,
-13.39,54.992,1,,
-13.335,-21.838,0,,
-13.254,-21.91,0,,
-13.03,95,0,,
-13.002,-95.976,1,,marine biome (ENVO:00000447)
-13,-102.999,0,,
-12.979,-96.023,412,,marine biome (ENVO:00000447)
-12.972,-96.012,14,,marine biome (ENVO:00000447)
-12.896,-29.234,5,,ocean_biome
-12.666,127.283,0,,
-12.62,132.883,4671,Australia,Billabong
-12.601,-22.523,0,,
-12.484,95,0,,
-12.428,123.776,0,,
-12.4,130.768,368,Australia:Darwin NRS,
-12.244,54.994,1,,
-12.209,54.96,0,,
-12.102,-24.928,1,,
-12.102,96.897,0,,
-12.001,-103,0,,
-11.881,54.557,0,,
-11.731,54.38,0,,
-11.676,144.226,9,Australia:Coral Sea,
-11.628,95,3,,
-11.499,54.109,0,,
-11.493,-10.537,0,,
-11.421,95,1,,
-11.264,142.892,0,,
-11.262,-24.939,0,,
-11.137,53.673,0,,
-11.128,53.665,0,,
-11.067,53.59,0,,
-11,-103,0,,
-10.954,92.068,0,,
-10.885,94.999,1,,
