Longitude_Rounded,Latitude_Rounded,Hit_Count,Geographic_Location,,,,,,,,,,,,,,,
100.507,5.728,15,Malaysia,,,,,,,,,,,,,,,
100.5436,5.6044,54,Malaysia,,,,,,,,,,,,,,,
100.6106,14.0697,6,Thailand,,,,,,,,,,,,,,,
101,2,3,Malaysia,,,,,,,,,,,,,,,
101.0901,4.5975,2,Malaysia,,,,,,,,,,,,,,,
101.4342,3.0047,9,Malaysia,,,,,,,,,,,,,,,
101.7111,3.1831,23,Malaysia,,,,,,,,,,,,,,,
103.8198,1.3521,32,Singapore,,,,,,,,,,,,,,,
-104.618,50.445,10,Canada,,,,,,,,,,,,,,,
-104.828,39.887,15,USA,,,,,,,,,,,,,,,
104.9026,11.5226,32,Cambodia,,,,,,,,,,,,,,,
-105.27,40.015,110,USA,,,,,,,,,,,,,,,
105.8658,20.9756,13,Viet Nam,,,,,,,,,,,,,,,
-106.485,31.761,113,USA,,,,,,,,,,,,,,,
106.629,10.823,1,Viet Nam,,,,,,,,,,,,,,,
114.2125,22.4039,55,Hong Kong,,,,,,,,,,,,,,,
120.9671,14.6027,4,Philippines,,,,,,,,,,,,,,,
121.5744,25.0664,32,Taiwan,,,,,,,,,,,,,,,
-122.332,47.606,12,USA,,,,,,,,,,,,,,,
126.8355,35.1559,75,South Korea,,,,,,,,,,,,,,,
130.909,-12.3646,30,Australia,,,,,,,,,,,,,,,
138.2529,36.2048,23,Japan,,,,,,,,,,,,,,,
139.4257,35.6693,4,"Japan:Tokyo, Hachioji",,,,,,,,,,,,,,,
144.6432,-37.9145,44,Australia,,,,,,,,,,,,,,,
149.095,-35.345,10,Australia,,,,,,,,,,,,,,,
170.502,-45.878,1,New Zealand,,,,,,,,,,,,,,,
172.6997,-43.5256,29,New Zealand,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,below are esitimated by location,,,,
34.7475,31.9561,6,Israel,,https://pubs.acs.org/doi/10.1021/acs.est.6b03188,,ERS1030613,ERS1030616,,,,,,,,,,
153.147373,-27.38076,30,Australia,,https://www.sciencedirect.com/science/article/pii/S0048969718324227,,ERS1048982,ERS1048982,ERS1048982,ERS1048982,,,,,,,,
144.9631,-37.8136,32,"Melbourne, Australia",,https://www.ebi.ac.uk/metagenomics/studies/MGYS00001312?analyses-page=7&analyses-page_size=50#overview,,ERS1443918,ERS1443920,ERS1443917,,,,,,,,,
23.3219,42.6977,4,"Sofia, Bulgaria",,same,,ERS1443924,,,,,,,,,,,
-48.5013,-1.4563,22,"Belem, Brasil",,same,,ERS1443925,ERS1443926,,,,,,,,,,
-114.0718,51.0447,5,"Calgary, Canada",,same,,ERS1443931,ERS1443934,,,,,,,,,,
-79.3832,43.6532,9,"Toronto, Canada",,same,,ERS1443935,,,,,,,,,,,
7.4178,46.9782,18,"Herrenschwanden, Switzerland",,same,,ERS1443937,ERS1443938,ERS1443939,,,,,,,,,
-4.0196,5.3252,6,"Abidjan, Cote d''Ivoire",,same,,ERS1443941,,,,,,,,,,,
16.6068,49.1951,9,"Brno, Czech Republic",,same,,ERS1443942,,,,,,,,,,,
13.405,52.52,1,"Berlin, Germany",,same,,ERS1443944,,,,,,,,,,,
