mf,ppm,unsat
C24H7F5NO4S,-1.9703,19.5
C25H10F2N4S3,1.9715999999999998,22.0
C9H19F8KN4P2S2,1.9788000000000001,-1.0
C16H12F3KN4O7S,-1.9877999999999998,11.0
C15H12F4N3O8P2,1.991,10.5
C17H20F5KNS4,2.0029,5.5
C16H18F2N2O6S4,-2.0065000000000004,8.0
C23H13FO8S2,2.0152,17.0
C19H15F4KNO4S2,-2.0209,10.5
C19H9F9NOP2,-2.0276,12.5
C14H11F9N4P2S,2.0293,8.0
C14H17F4KN4O3S3,2.036,6.0
C11H14F7KN4O4P2,-2.045,4.0
C27H5FN4O4S,-2.0522,27.0
C22H12F6NS3,2.0535,14.5
C11H20F6N2O3P2S3,-2.0637,1.0
C22H6F7KN3O,2.0722,17.5
C12H14F8O8P2,2.073,3.0
C26H16F2KPS2,2.0746,18.0
C14H17F8KNOP2S,-2.0781,3.5
C30H8F2NOS2,-2.0853,26.5
C19H9F5N4O3S2,2.0866000000000002,15.0
C23H19NO2PS4,2.089,15.5
C10H13F12N2OPS2,-2.0992,0.0
C22H13KN4O4S2,-2.1028000000000002,18.0
C23H13FKN3O3PS,2.1077000000000004,18.5
C22H7F5N4OP2,-2.1094999999999997,20.0
C11H13F13NP2S,2.1113,0.5
C15H18F3KO9P2,-2.1164,6.0
C11H19F8KNO3S3,2.1179,-1.5
C31H8F3PS,2.1251,27.0
C25H16FKNOS3,-2.1359000000000004,17.5
C11H14F7NO9PS,-2.1374999999999997,2.5
C8H10F12N4O3P2,2.1444,1.0
C8H16F7KN4O6S2,2.151,-1.0
C12H26F2KNO5PS4,2.1534,-0.5
C19H8F11KO,2.1540999999999997,10.0
C28H5F2N3O3P,2.1582,27.5
C17H15F4KN4OP2S,-2.16,11.0
C16H11F9NO3S2,2.1685,7.5
C10H7F13NO7,-2.173,1.5
C17H21F3N2P2S4,-2.1787,8.0
C26H11FO6P2,-2.1809000000000003,22.0
C9H23FKN4O8PS3,2.1865,0.0
C20H15F5KO3PS,2.1896,11.0
C13H8F8N4O6S,2.2016,8.0
C17H18F3NO5PS3,2.204,8.5
C14H12F3N4O9PS,-2.2194,10.0
C17H12F4KN3O6P,2.2227,11.5
C21H19KO6P2S,-2.2314,13.0
C14H15F2N4O8PS2,2.2371000000000003,9.0
C25H7F6O3P,2.2401,20.0
C17H15F4NO6PS2,-2.2525,9.5
C13H5F9N4O7,-2.2548999999999997,9.0
C20H12F6KO4P,-2.2668999999999997,12.0
C9H20F2KN4O9PS2,-2.27,1.0
C26H14O5P2S,2.2756,21.0
C10H10F12NO6S,2.2834999999999996,0.5
C16H8F10NO4S,-2.288,8.5
C17H18F3KN4P2S2,2.2964,10.0
C12H23F3KNO6PS3,-2.3031,0.5
C14H14F8KO6P,2.3045999999999998,4.0
C8H13F8KN4O7S,-2.3054,0.0
C7H7F11N4O9,2.3165999999999998,1.0
C11H17F6NO8PS2,2.319,1.5
C25H19KNS4,2.3205999999999998,16.5
C31H5F4OP,-2.3314,28.0
C20H13N4O6PS2,-2.3344,17.0
C11H16F9KNO4S2,-2.3385000000000002,-0.5
C15H21F2KO8P2S,2.34,5.0
C11H10F14NOP2,-2.3452,1.5
C22H10F4N4P2S,2.347,19.0
C23H10F2KN3O4P,-2.3487999999999998,19.5
C12H24NO10P2S3,2.3545000000000003,2.5
C10H16F11N2PS3,2.3573,-1.0
C23H16FNO3PS3,-2.3675,16.5
C19H6F6N4O4S,-2.3699,16.0
C30H11FNS3,2.3712,25.5
C10H10F12KN4OP,2.3760000000000003,2.0
C14H20F7KNP2S2,2.3784,2.5
C26H13F3KOPS,-2.3819,19.0
C30H5F2KN3O,2.3898,28.5
C20H13F3O8P2,2.3906,14.0
C11H23F5N2O2P2S4,2.3928000000000003,0.0
