Mass,Intensity,ControlMax__ab1_1_peaks,ControlMax__mc_1_peaks,ControlMax__pc1_1_peaks,Average_Control_Intensity
87.362032,76.150564,0.0,0.0,0.0,0.0
87.462114,86.748955,0.0,0.0,0.0,0.0
87.483548,73.693724,0.0,0.0,0.0,0.0
87.497421,74.811566,0.0,0.0,0.0,0.0
87.500041,72.347132,0.0,0.0,0.0,0.0
87.540031,74.884531,0.0,0.0,0.0,0.0
87.567225,71.051136,0.0,0.0,0.0,0.0
87.571985,80.145722,0.0,0.0,0.0,0.0
87.576746,95.355066,0.0,0.0,0.0,0.0
87.679046,108.0036,0.0,0.0,0.0,0.0
87.784938,74.014734,0.0,0.0,0.0,0.0
87.820148,86.490915,0.0,0.0,0.0,0.0
87.959929,85.128422,0.0,0.0,0.0,0.0
87.973231,97.464024,0.0,0.0,0.0,0.0
88.040569,64.911552,0.0,0.0,0.0,0.0
88.104259,61.469574,0.0,0.0,0.0,0.0
88.142898,77.502722,0.0,0.0,0.0,0.0
88.176655,68.725354,0.0,0.0,0.0,0.0
88.192461,81.352064,0.0,0.0,0.0,0.0
88.19796,103.141578,0.0,0.0,0.0,0.0
88.203459,83.527184,0.0,0.0,0.0,0.0
88.235973,65.936351,0.0,0.0,0.0,0.0
88.242753,77.544538,0.0,0.0,0.0,0.0
88.266637,67.797053,0.0,0.0,0.0,0.0
88.270767,80.487264,0.0,0.0,0.0,0.0
88.339431,96.301156,0.0,0.0,0.0,0.0
88.344648,93.518975,0.0,0.0,0.0,0.0
88.374483,105.139282,0.0,0.0,0.0,0.0
88.41744,76.840811,0.0,0.0,0.0,0.0
88.431338,99.491438,0.0,0.0,0.0,0.0
88.480059,69.517746,0.0,0.0,0.0,0.0
88.501079,64.402864,0.0,0.0,0.0,0.0
88.503941,86.227726,0.0,0.0,0.0,0.0
88.533758,81.081829,0.0,0.0,0.0,0.0
88.538597,69.774222,0.0,0.0,0.0,0.0
88.55124,73.943558,0.0,0.0,0.0,0.0
88.601839,123.182068,0.0,0.0,0.0,0.0
88.631903,116.810736,0.0,0.0,0.0,0.0
88.70406,90.34209,0.0,0.0,0.0,0.0
88.711092,91.006251,0.0,0.0,0.0,0.0
88.870285,78.484775,0.0,0.0,0.0,0.0
88.955363,92.964204,0.0,0.0,0.0,0.0
88.97715,65.347926,0.0,0.0,0.0,0.0
88.995062,68.069167,0.0,0.0,0.0,0.0
89.025326,185.164817,0.0,0.0,0.0,0.0
89.025625,78.602198,0.0,0.0,0.0,0.0
89.026422,73.635113,0.0,0.0,0.0,0.0
89.075137,90.489612,0.0,0.0,0.0,0.0
89.085802,82.76276,0.0,0.0,0.0,0.0
89.139953,61.94506,0.0,0.0,0.0,0.0
89.142946,84.470413,0.0,0.0,0.0,0.0
89.149731,82.758654,0.0,0.0,0.0,0.0
89.196151,70.359589,0.0,0.0,0.0,0.0
89.304804,94.891829,0.0,0.0,0.0,0.0
89.345338,71.923275,0.0,0.0,0.0,0.0
89.361258,91.658953,0.0,0.0,0.0,0.0
89.36887,70.372833,0.0,0.0,0.0,0.0
89.408545,66.568322,0.0,0.0,0.0,0.0
