Mass,Intensity,ControlMax__ab1_1_peaks,ControlMax__mc_1_peaks,ControlMax__pc1_1_peaks,Average_Control_Intensity
79.981212,44.667905,0.0,0.0,0.0,0.0
80.23161,37.380114,0.0,0.0,0.0,0.0
80.255982,35.852241,0.0,0.0,0.0,0.0
80.296398,34.674857,0.0,0.0,0.0,0.0
80.356652,42.421011,0.0,0.0,0.0,0.0
80.369036,37.737005,0.0,0.0,0.0,0.0
80.370659,34.650794,0.0,0.0,0.0,0.0
80.398341,37.681851,0.0,0.0,0.0,0.0
80.401503,42.622784,0.0,0.0,0.0,0.0
80.413812,37.89874,0.0,0.0,0.0,0.0
80.442457,40.717219,0.0,0.0,0.0,0.0
80.479505,35.245663,0.0,0.0,0.0,0.0
80.490034,41.121492,0.0,0.0,0.0,0.0
80.521804,38.546851,0.0,0.0,0.0,0.0
80.549307,36.916469,0.0,0.0,0.0,0.0
80.601696,40.316414,0.0,0.0,0.0,0.0
80.612678,38.879725,0.0,0.0,0.0,0.0
80.635764,47.488926,0.0,0.0,0.0,0.0
80.681106,45.70908,0.0,0.0,0.0,0.0
80.701729,40.902692,0.0,0.0,0.0,0.0
80.714537,39.705753,0.0,0.0,0.0,0.0
80.734055,48.415233,0.0,0.0,0.0,0.0
80.756935,39.561573,0.0,0.0,0.0,0.0
80.761064,50.605863,0.0,0.0,0.0,0.0
80.829337,42.490144,0.0,0.0,0.0,0.0
80.895109,37.345252,0.0,0.0,0.0,0.0
80.895627,38.911266,0.0,0.0,0.0,0.0
80.90201,40.505498,0.0,0.0,0.0,0.0
80.927464,45.504395,0.0,0.0,0.0,0.0
80.964071,3670.308106,0.0,114.766273,0.0,38.25542433333333
81.025251,36.548209,0.0,0.0,0.0,0.0
81.131965,45.110445,0.0,0.0,0.0,0.0
81.146695,43.446163,0.0,0.0,0.0,0.0
81.149381,41.625695,0.0,0.0,0.0,0.0
81.153714,36.435034,0.0,0.0,0.0,0.0
81.156921,42.631496,0.0,0.0,0.0,0.0
81.196893,36.798402,0.0,0.0,0.0,0.0
81.200622,37.883037,0.0,0.0,0.0,0.0
81.210078,38.562278,0.0,0.0,0.0,0.0
81.229168,36.712386,0.0,0.0,0.0,0.0
81.234376,38.115205,0.0,0.0,0.0,0.0
81.24132,39.714144,0.0,0.0,0.0,0.0
81.245227,41.877246,0.0,0.0,0.0,0.0
81.245921,41.498079,0.0,0.0,0.0,0.0
81.24705,39.214761,0.0,0.0,0.0,0.0
81.26789,38.210787,0.0,0.0,0.0,0.0
81.285437,35.843697,0.0,0.0,0.0,0.0
81.335329,38.327349,0.0,0.0,0.0,0.0
81.39963,42.83704,0.0,0.0,0.0,0.0
81.468889,40.864509,0.0,0.0,0.0,0.0
81.504903,42.612286,0.0,0.0,0.0,0.0
81.533087,42.863628,0.0,0.0,0.0,0.0
81.581634,37.61474,0.0,0.0,0.0,0.0
81.582508,42.111925,0.0,0.0,0.0,0.0
81.594127,38.991976,0.0,0.0,0.0,0.0
81.600593,40.137983,0.0,0.0,0.0,0.0
81.626291,38.876908,0.0,0.0,0.0,0.0
81.652088,36.455801,0.0,0.0,0.0,0.0
81.659523,37.713427,0.0,0.0,0.0,0.0
81.666959,39.232545,0.0,0.0,0.0,0.0
81.734545,40.912305,0.0,0.0,0.0,0.0
81.767229,38.70162,0.0,0.0,0.0,0.0
81.771612,38.884689,0.0,0.0,0.0,0.0
81.850037,37.484763,0.0,0.0,0.0,0.0
81.871461,42.317872,0.0,0.0,0.0,0.0
81.877082,39.080292,0.0,0.0,0.0,0.0
81.897901,38.245603,0.0,0.0,0.0,0.0
81.951964,61.691187,0.0,0.0,0.0,0.0
81.958209,48.83693,0.0,0.0,0.0,0.0
81.959088,38.140233,0.0,0.0,0.0,0.0
82.001942,42.421454,0.0,0.0,0.0,0.0
82.02598,41.669022,0.0,0.0,0.0,0.0
82.085106,48.246538,0.0,0.0,0.0,0.0
82.091455,44.412691,0.0,0.0,0.0,0.0
82.093218,45.299631,0.0,0.0,0.0,0.0
82.178729,35.521117,0.0,0.0,0.0,0.0
82.22865,37.184388,0.0,0.0,0.0,0.0
82.301714,40.350971,0.0,0.0,0.0,0.0
82.357417,35.850625,0.0,0.0,0.0,0.0
82.381434,39.618834,0.0,0.0,0.0,0.0
82.397747,41.370642,0.0,0.0,0.0,0.0
82.451329,47.098173,0.0,0.0,0.0,0.0
82.478406,39.60983,0.0,0.0,0.0,0.0
82.490217,36.01956,0.0,0.0,0.0,0.0
82.523623,40.618321,0.0,0.0,0.0,0.0
82.559005,36.826784,0.0,0.0,0.0,0.0
82.592631,41.483287,0.0,0.0,0.0,0.0
82.607315,34.65065,0.0,0.0,0.0,0.0
82.621736,38.214872,0.0,0.0,0.0,0.0
82.646581,48.735417,0.0,0.0,0.0,0.0
82.666715,37.43632,0.0,0.0,0.0,0.0
82.668764,36.585322,0.0,0.0,0.0,0.0
82.669388,91.924048,0.0,0.0,0.0,0.0
82.729301,49.953518,0.0,0.0,0.0,0.0
82.753302,33.163194,0.0,0.0,0.0,0.0
82.803123,40.861822,0.0,0.0,0.0,0.0
82.878563,45.176829,0.0,0.0,0.0,0.0
82.944256,46.003186,0.0,0.0,0.0,0.0
82.97507,38.05509,0.0,0.0,0.0,0.0
82.979192,40.908515,0.0,0.0,0.0,0.0
82.987258,37.953958,0.0,0.0,0.0,0.0
83.012806,147.532531,0.0,0.0,0.0,0.0
83.042223,56.394418,0.0,0.0,0.0,0.0
83.061425,47.537329,0.0,0.0,0.0,0.0
83.074259,38.558946,0.0,0.0,0.0,0.0
83.083596,75.251686,0.0,0.0,0.0,0.0
83.104697,41.149461,0.0,0.0,0.0,0.0
83.149622,39.687985,0.0,0.0,0.0,0.0
83.191704,43.729462,0.0,0.0,0.0,0.0
83.199081,41.091014,0.0,0.0,0.0,0.0
83.211767,34.722991,0.0,0.0,0.0,0.0
83.219597,47.246055,0.0,0.0,0.0,0.0
83.278307,37.398047,0.0,0.0,0.0,0.0
83.364503,41.080937,0.0,0.0,0.0,0.0
83.392032,42.324337,0.0,0.0,0.0,0.0
83.455714,40.045421,0.0,0.0,0.0,0.0
83.507708,39.587744,0.0,0.0,0.0,0.0
83.509337,41.331482,0.0,0.0,0.0,0.0
83.515579,42.699769,0.0,0.0,0.0,0.0
83.523723,36.842683,0.0,0.0,0.0,0.0
83.564912,38.319209,0.0,0.0,0.0,0.0
